channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,30,l2,window,30,42,2,7.5,0.6089238845144357,0.33333333333333337,0.6261286089238844
all,3.0,30,l2,window,30,43,2,11.25,0.5464998309097058,0.33333333333333337,0.5724165821215195
all,3.0,30,l2,window,30,44,2,11.25,0.49653017476292555,0.33333333333333337,0.5474317540481294
all,3.0,30,l2,window,30,45,2,11.25,0.49653017476292555,0.33333333333333337,0.5474317540481294
all,3.0,30,l2,window,30,46,3,15.0,0.48283841110682607,0.6666666666666667,0.5847525388867464
all,3.0,30,l2,window,30,47,3,15.0,0.48283841110682607,0.6666666666666667,0.5847525388867464
all,3.0,30,l2,window,30,48,2,8.75,0.5747117915261148,0.33333333333333337,0.601522562429724
all,3.0,30,l2,window,30,49,3,15.0,0.48283841110682607,0.6666666666666667,0.5847525388867464
all,3.0,30,l2,window,30,50,3,15.0,0.48283841110682607,0.6666666666666667,0.5847525388867464
all,3.0,30,l2,window,30,51,2,15.0,0.421067779536624,0.33333333333333337,0.4872005564349786
all,4.0,15,rbf,5,5,42,2,9.0,0.5596213150208988,0.33333333333333337,0.5924773241771161
all,4.0,15,rbf,5,5,43,1,19.0,0.3250542236895142,0.0,0.3485271118447571
all,4.0,15,rbf,5,5,44,0,50.0,0.0,0.0,0.0
all,4.0,15,rbf,5,5,45,1,16.0,0.35495391377660734,0.0,0.38147695688830363
all,4.0,15,rbf,5,5,46,1,21.5,0.3136388788760309,0.0,0.3278194394380155
all,4.0,15,rbf,5,5,47,1,29.5,0.11294758409916768,0.0,0.17947379204958383
all,4.0,15,rbf,5,5,48,0,50.0,0.0,0.0,0.0
all,4.0,15,rbf,5,5,49,1,25.5,0.21408625504188644,0.0,0.2540431275209432
all,4.0,15,rbf,5,5,50,2,19.25,0.2801650505871239,0.33333333333333337,0.39124919196022856
all,4.0,15,rbf,5,5,51,2,15.5,0.3917427120997869,0.33333333333333337,0.4695380227165601
all,4.0,15,rbf,10,10,42,2,9.0,0.5596213150208988,0.33333333333333337,0.5924773241771161
all,4.0,15,rbf,10,10,43,1,19.0,0.3250542236895142,0.0,0.3485271118447571
all,4.0,15,rbf,10,10,44,0,50.0,0.0,0.0,0.0
all,4.0,15,rbf,10,10,45,1,16.0,0.35495391377660734,0.0,0.38147695688830363
all,4.0,15,rbf,10,10,46,1,21.5,0.3136388788760309,0.0,0.3278194394380155
all,4.0,15,rbf,10,10,47,1,29.5,0.11294758409916768,0.0,0.17947379204958383
all,4.0,15,rbf,10,10,48,0,50.0,0.0,0.0,0.0
all,4.0,15,rbf,10,10,49,1,25.5,0.21408625504188644,0.0,0.2540431275209432
all,4.0,15,rbf,10,10,50,2,19.25,0.2801650505871239,0.33333333333333337,0.39124919196022856
all,4.0,15,rbf,10,10,51,2,15.5,0.3917427120997869,0.33333333333333337,0.4695380227165601
all,4.0,15,rbf,window,15,42,2,9.0,0.5596213150208988,0.33333333333333337,0.5924773241771161
all,4.0,15,rbf,window,15,43,1,19.0,0.3250542236895142,0.0,0.3485271118447571
all,4.0,15,rbf,window,15,44,0,50.0,0.0,0.0,0.0
all,4.0,15,rbf,window,15,45,1,16.0,0.35495391377660734,0.0,0.38147695688830363
all,4.0,15,rbf,window,15,46,1,21.5,0.3136388788760309,0.0,0.3278194394380155
all,4.0,15,rbf,window,15,47,1,29.5,0.11294758409916768,0.0,0.17947379204958383
all,4.0,15,rbf,window,15,48,0,50.0,0.0,0.0,0.0
all,4.0,15,rbf,window,15,49,1,25.5,0.21408625504188644,0.0,0.2540431275209432
all,4.0,15,rbf,window,15,50,2,19.25,0.2801650505871239,0.33333333333333337,0.39124919196022856
all,4.0,15,rbf,window,15,51,2,15.5,0.3917427120997869,0.33333333333333337,0.4695380227165601
all,4.0,15,l2,5,5,42,20,5.025,0.35059315825810156,0.0,0.44514657912905076
all,4.0,15,l2,5,5,43,21,4.857142857142858,0.33079073141589144,0.0,0.43625250856508857
all,4.0,15,l2,5,5,44,19,5.4144736842105265,0.3265763800184593,0.0,0.4308013479039665
all,4.0,15,l2,5,5,45,21,5.125,0.32681680464282664,0.0,0.4326584023214133
all,4.0,15,l2,5,5,46,18,6.194444444444445,0.3345832930471753,0.0,0.430124979856921
all,4.0,15,l2,5,5,47,21,5.267857142857143,0.2961400900609743,0.0,0.41646290217334425
